,id,a_node,b_node,length,road_type,geometry,capacity_cars,type_bike,speed_car,speed_bike,free_flow_time_car
300,101811,6615,6623,227.91818,10,"LINESTRING (85734.4609375 447055.53125, 85757.8125 446828.8125)",1200.0,None,35.0,15,23.4430128
301,101812,6623,6615,227.91818,10,"LINESTRING (85734.4609375 447055.53125, 85757.8125 446828.8125)",1200.0,None,35.0,15,23.4430128
302,101821,6620,6623,236.55351,10,"LINESTRING (85542.65625 446730.5, 85757.8125 446828.8125)",1200.0,None,35.0,15,24.33121817142857
303,101822,6623,6620,236.55351,10,"LINESTRING (85542.65625 446730.5, 85757.8125 446828.8125)",1200.0,None,35.0,15,24.33121817142857
304,101891,6621,6626,322.84722,10,"LINESTRING (85584.9296875 446620.46875, 85288.703125 446492.09375)",1200.0,None,35.0,15,33.20714262857143
305,101892,6626,6621,322.84722,10,"LINESTRING (85584.9296875 446620.46875, 85288.703125 446492.09375)",1200.0,None,35.0,15,33.20714262857143
306,101921,6626,6627,123.00597,10,"LINESTRING (85288.703125 446492.09375, 85244.3984375 446606.84375)",1200.0,None,35.0,15,12.65204262857143
307,101922,6627,6626,123.00597,10,"LINESTRING (85288.703125 446492.09375, 85244.3984375 446606.84375)",1200.0,None,35.0,15,12.65204262857143
308,101951,6550,6628,395.05735,10,"LINESTRING (85091.15625 446864.40625, 84966.515625 446667.28125, 84920.1953125 446512.21875)",1200.0,None,35.0,15,40.634470285714286
309,101952,6628,6550,395.05735,10,"LINESTRING (85091.15625 446864.40625, 84966.515625 446667.28125, 84920.1953125 446512.21875)",1200.0,None,35.0,15,40.634470285714286
310,101981,6627,6629,330.80509,10,"LINESTRING (85244.3984375 446606.84375, 84942.3515625 446471.9375)",1200.0,None,35.0,15,34.025666400000006
311,101982,6629,6627,330.80509,10,"LINESTRING (85244.3984375 446606.84375, 84942.3515625 446471.9375)",1200.0,None,35.0,15,34.025666400000006
312,101991,6628,6629,45.972590000000004,10,"LINESTRING (84920.1953125 446512.21875, 84942.3515625 446471.9375)",1200.0,None,35.0,15,4.728609257142857
313,101992,6629,6628,45.972590000000004,10,"LINESTRING (84920.1953125 446512.21875, 84942.3515625 446471.9375)",1200.0,None,35.0,15,4.728609257142857
314,102021,6629,6630,496.04154,10,"LINESTRING (84942.3515625 446471.9375, 85097.3984375 446000.75)",1200.0,None,35.0,15,51.02141554285714
315,102022,6630,6629,496.04154,10,"LINESTRING (84942.3515625 446471.9375, 85097.3984375 446000.75)",1200.0,None,35.0,15,51.02141554285714
316,102081,6630,6632,346.97959000000003,10,"LINESTRING (85097.3984375 446000.75, 85413.5546875 446143.71875)",1200.0,None,35.0,15,35.68932925714286
317,102082,6632,6630,346.97959000000003,10,"LINESTRING (85097.3984375 446000.75, 85413.5546875 446143.71875)",1200.0,None,35.0,15,35.68932925714286
318,102121,6631,6633,317.53498,10,"LINESTRING (85403.484375 446190.0625, 85695.4609375 446314.875)",1200.0,None,35.0,15,32.6607408
319,102122,6633,6631,317.53498,10,"LINESTRING (85403.484375 446190.0625, 85695.4609375 446314.875)",1200.0,None,35.0,15,32.6607408
